NEST,CLASS,SUM
AB,Alka,73.18054774
AB,Alke,12.06990401
AB,Mono,37.29824204
AB,Di,44.04543006
AB,Tri,152.0876846
DA,Alka,75.34367831
DA,Alke,13.70710907
DA,Mono,59.13834536
DA,Di,80.63527017
DA,Tri,292.5675618
LH,Alka,75.36146403
LH,Alke,11.8282712
LH,Mono,51.51391416
LH,Di,59.08238312
LH,Tri,171.2821574
LP,Alka,89.78713118
LP,Alke,18.86427365
LP,Mono,52.13948807
LP,Di,37.64415163
LP,Tri,63.93586183
LS,Alka,101.3816063
LS,Alke,17.09798831
LS,Mono,79.64393924
LS,Di,63.63429467
LS,Tri,129.5870245
MT,Alka,79.5242391
MT,Alke,17.13927001
MT,Mono,39.50505289
MT,Di,25.49343197
MT,Tri,49.5434455
SW,Alka,84.70427152
SW,Alke,10.44204213
SW,Mono,54.64924546
SW,Di,55.76175985
SW,Tri,138.0656033
UK,Alka,65.13984477
UK,Alke,11.47549331
UK,Mono,40.57176882
UK,Di,60.55900575
UK,Tri,181.555465
